Timestamp,How often do you feel sad?,How do you feel about the future?,How do you perceive your accomplishments?,Do you enjoy activities as much as you used to?,Do you feel guilty?,Do you feel like you're being punished?,How do you feel about yourself?,Do you blame yourself for problems?,Do you have thoughts of self-harm?,How often do you cry?,Do you feel irritated?,Have you lost interest in others?,How well do you make decisions?,How do you feel about your appearance?,How well do you work?,How well do you sleep?,How often do you feel tired?,How is your appetite?,Have you lost weight?,Are you worried about your health?,Have you noticed any changes in your interest in forming close personal connections?
26/12/2024 21:19:29,3,3,2,2,2,0,1,1,1,3,0,2,0,1,2,1,1,0,0,0,2
26/12/2024 21:24:42,1,1,0,1,1,0,1,2,0,0,1,0,1,0,2,1,3,0,0,1,0
26/12/2024 21:37:21,1,0,0,1,3,0,2,3,0,0,0,1,2,2,2,1,3,2,0,2,0
26/12/2024 21:54:16,1,0,0,0,0,1,0,2,0,1,1,2,2,0,1,1,1,0,0,0,0
27/12/2024 10:49:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/12/2024 11:02:50,1,0,1,0,0,1,0,2,1,1,1,1,1,0,0,0,1,0,0,1,2
27/12/2024 11:03:07,1,0,0,0,0,1,1,2,1,1,0,0,3,1,1,1,3,2,1,2,0
27/12/2024 11:14:50,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0
27/12/2024 11:19:58,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27/12/2024 17:39:21,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,2
27/12/2024 17:44:48,1,0,1,3,1,2,1,1,0,2,1,1,1,0,0,2,2,2,2,1,1
27/12/2024 18:49:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/12/2024 20:54:52,3,0,0,1,1,1,0,0,0,1,1,1,0,2,1,0,1,0,0,3,1
27/12/2024 21:02:19,2,3,3,2,2,3,3,2,1,3,2,3,3,3,3,3,3,3,3,3,3
27/12/2024 21:39:53,1,3,2,1,2,1,1,1,0,1,1,1,0,3,1,0,1,1,1,0,0
28/12/2024 16:57:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2025 08:55:00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3
01/01/2025 10:47:44,3,3,2,1,0,1,3,3,2,3,2,1,2,2,1,1,2,3,2,3,1
01/01/2025 10:47:51,0,0,1,1,1,0,0,2,0,0,1,2,1,0,1,0,1,0,0,1,1
01/01/2025 10:55:12,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
01/01/2025 11:09:13,1,1,2,1,1,3,1,1,0,3,1,1,2,0,1,0,1,0,0,0,1
01/01/2025 11:11:13,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,0,1,1,0,1,2
01/01/2025 11:12:00,1,0,2,0,2,2,1,1,0,0,1,1,1,2,2,0,1,0,0,0,0
01/01/2025 12:09:15,2,2,2,1,1,2,1,0,1,0,1,1,1,2,2,2,1,0,0,1,1
01/01/2025 13:15:26,2,3,2,2,1,1,1,1,1,3,2,2,0,1,1,0,1,1,0,0,2
02/01/2025 14:47:49,0,2,1,1,2,2,2,1,2,1,1,1,3,1,2,3,1,2,2,3,3
02/01/2025 14:48:00,2,1,0,0,0,1,1,1,1,2,3,0,2,2,3,0,0,0,0,1,0
02/01/2025 14:48:12,2,2,3,2,3,0,3,2,1,2,2,2,2,1,2,0,0,0,0,1,1
02/01/2025 14:48:38,0,2,2,1,2,3,2,1,2,2,2,2,2,1,2,1,1,0,0,2,2
02/01/2025 14:49:05,0,2,2,3,2,3,1,2,3,2,1,2,2,3,3,3,2,1,2,2,1
02/01/2025 14:49:34,0,2,0,2,1,2,1,1,1,0,0,0,1,2,1,1,1,1,3,1,0
02/01/2025 14:50:03,0,1,2,2,1,2,2,3,1,0,1,1,1,1,1,2,3,2,2,1,1
02/01/2025 14:50:26,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1
02/01/2025 14:50:36,3,3,3,0,1,3,0,3,3,0,2,3,3,3,3,2,2,2,2,1,1
02/01/2025 15:19:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2025 09:29:11,1,0,2,0,0,0,0,1,0,3,1,0,0,0,1,0,3,0,0,0,1
03/01/2025 12:03:44,1,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
03/01/2025 12:06:10,0,0,1,1,2,0,1,2,1,2,1,3,0,1,1,0,1,0,2,1,1
03/01/2025 12:07:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2025 12:08:13,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,1,1,1,3,0
03/01/2025 14:01:33,1,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
05/01/2025 16:53:45,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
